REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL
Florida,2010,45,X,X
Georgia,2010,45,3.41305,1390
Hawaii,2010,45,1.17429,19
Idaho,2010,45,1.49434,62
Illinois,2010,45,1.55392,651
Indiana,2010,45,0.752055,97
Iowa,2010,45,0.41866,21
Kansas,2010,45,0.724993,74
Kentucky,2010,45,0.222995,34
Louisiana,2010,45,2.08577,463
Maine,2010,45,0.356622,22
Maryland,2010,45,1.42159,128
Massachusetts,2010,45,0.732931,187
Michigan,2010,45,0.806639,139
Minnesota,2010,45,0.82012,45
Mississippi,2010,45,3.93095,649
Missouri,2010,45,1.22374,106
Montana,2010,45,0.243902,6
Nebraska,2010,45,2.96108,105
Nevada,2010,45,0.805239,75
New Hampshire,2010,45,0.304414,16
New Jersey,2010,45,2.2031,169
New Mexico,2010,45,2.3776,186
New York,2010,45,0.504756,78
North Carolina,2010,45,0.476862,115
North Dakota,2010,45,0.75811,43
Ohio,2010,45,0.51801,86
Oklahoma,2010,45,2.57453,76
Oregon,2010,45,0.775305,54
Pennsylvania,2010,45,1.03377,184
Rhode Island,2010,45,0.477403,30
South Carolina,2010,45,0.5111,32
South Dakota,2010,45,0.743424,39
Tennessee,2010,45,0.593704,76
Texas,2010,45,2.51778,1310
Utah,2010,45,0.6639,40
Vermont,2010,45,1.12705,33
Virginia,2010,45,1.41165,888
Washington,2010,45,1.06724,40
West Virginia,2010,45,2.06875,201
Wisconsin,2010,45,1.03383,55
Wyoming,2010,45,0.463336,23
New York City,2010,45,1.73829,1557
Alabama,2010,46,3.53248,434
Alaska,2010,46,0.962567,18
Arizona,2010,46,1.09665,284
Arkansas,2010,46,1.55462,74
California,2010,46,2.81963,1020
Colorado,2010,46,0.696032,137
Connecticut,2010,46,0.618847,22
Delaware,2010,46,0.390879,12
District of Columbia,2010,46,1.5844,52
Florida,2010,46,X,X
Georgia,2010,46,4.55518,1938
Hawaii,2010,46,1.31204,23
Idaho,2010,46,1.95882,98
Illinois,2010,46,1.63242,661
Indiana,2010,46,0.820837,104
Iowa,2010,46,0.484206,21
Kansas,2010,46,0.595801,63
Kentucky,2010,46,0.46321,78
Louisiana,2010,46,2.81506,539
Maine,2010,46,0.520341,33
Maryland,2010,46,1.50014,156
Massachusetts,2010,46,0.803486,236
Michigan,2010,46,0.655481,109
Minnesota,2010,46,0.702763,44
Mississippi,2010,46,4.46575,764
Missouri,2010,46,1.20367,101
Montana,2010,46,0.10993,3
Nebraska,2010,46,2.42303,85
Nevada,2010,46,2.63276,294
New Hampshire,2010,46,0.279281,16
New Jersey,2010,46,2.13716,158
New Mexico,2010,46,2.87842,228
New York,2010,46,0.503441,79
North Carolina,2010,46,0.484569,122
North Dakota,2010,46,0.644192,30
Ohio,2010,46,0.533199,95
Oklahoma,2010,46,3.35068,103
Oregon,2010,46,0.657895,44
Pennsylvania,2010,46,0.946337,170
Rhode Island,2010,46,0.504177,35
South Carolina,2010,46,0.455927,33
