YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
2006,8,3.12442,2.96911,2753,5284,791,11901,1288,400827
2006,9,3.13099,2.83959,2579,5008,767,11343,1275,399459
2006,10,3.08261,2.77799,2564,5106,678,11261,1257,405365
2006,11,2.64431,2.47287,2330,4154,607,9322,1241,376971
2006,12,2.42295,2.18061,1895,3709,541,8064,1217,369804
2006,13,2.31141,2.0168,1697,3393,478,7313,1165,362605
2006,14,1.86383,1.64101,1437,2660,342,5738,1133,349662
2006,15,1.44943,1.35829,1181,2014,285,4547,1087,334760
2006,16,1.30227,1.1428,959,1479,239,3550,1045,310641
2006,17,1.13459,1.04031,836,1382,180,3177,1017,305389
2006,18,1.06255,0.964347,745,1208,190,2780,958,288278
2006,19,1.03428,0.937982,745,1039,187,2592,919,276338
2006,20,1.01791,0.947449,715,969,162,2428,877,256267
2006,21,0.918151,0.891918,699,764,146,2061,783,231075
2006,22,0.93099,0.864643,572,561,108,1645,649,190252
2006,23,0.857294,0.97032,754,626,131,2075,635,213847
2006,24,0.786294,0.84439,514,447,81,1430,615,169353
2006,25,0.719426,0.77487,463,409,100,1300,610,167770
2006,26,0.718868,0.821372,466,390,92,1271,572,154741
2006,27,0.774807,0.872745,437,402,71,1215,565,139216
2006,28,0.76598,0.922635,549,511,108,1617,577,175259
2006,29,0.642809,0.899487,541,440,112,1553,564,172654
2006,30,0.622033,0.843082,502,403,128,1455,564,172581
2006,31,0.616326,0.881824,508,430,88,1428,551,161937
2006,32,0.685694,0.817145,473,435,82,1373,547,168024
2006,33,0.622697,0.8715,510,466,91,1457,536,167183
2006,34,0.611817,0.738621,404,379,76,1138,503,154071
2006,35,0.638831,0.797966,398,457,77,1224,488,153390
2006,36,0.806627,1.01394,492,506,69,1463,491,144289
2006,37,0.762448,0.880936,446,521,78,1406,487,159603
2006,38,0.813406,0.943366,511,534,80,1487,455,157627
2006,39,0.807934,0.891546,476,512,81,1433,469,160732
2006,40,1.15384,1.20322,1434,1699,264,4513,1323,375076
2006,41,1.14819,1.05788,1278,1602,200,4072,1361,384920
2006,42,1.22736,1.13054,1543,1830,265,4737,1425,419005
2006,43,1.21744,1.12552,1582,1996,224,4888,1445,434287
2006,44,1.32813,1.20808,1672,2270,281,5380,1473,445334
2006,45,1.47754,1.34952,2112,2393,314,6139,1497,454901
2006,46,1.5339,1.4689,2355,2681,290,6668,1474,453945
2006,47,1.91269,1.82767,2188,2202,357,6156,1488,336822
2006,48,1.838,1.6656,2573,2792,391,7530,1486,452089
2006,49,1.95376,1.85968,2643,3244,431,8122,1493,436741
2006,50,2.40407,2.38891,3270,4470,479,10396,1492,435177
2006,51,2.87453,2.78978,3387,4065,503,10192,1435,365334
2006,52,3.02597,3.11549,3243,2868,586,8913,1359,286087
2007,1,2.37817,2.26942,2927,2481,584,8386,1490,369521
2007,2,2.09232,1.86355,2507,2756,480,7761,1467,416464
2007,3,2.29396,1.99986,2548,3248,412,7909,1470,395477
2007,4,2.74501,2.4406,3410,4684,537,10888,1495,446119
2007,5,3.04434,2.83018,3456,5648,457,12120,1472,428241
2007,6,3.49999,3.12343,3840,6995,452,14197,1484,454533
2007,7,3.57851,3.27019,3879,6668,529,14031,1461,429057
2007,8,3.28979,3.17757,3728,6537,608,14048,1460,442099
2007,9,2.89149,2.72364,3016,5429,578,11801,1428,433281
2007,10,2.62075,2.50201,2798,4937,447,10715,1408,428255
2007,11,2.53387,2.4272,2668,4031,472,9597,1361,395394
2007,12,2.07251,1.96041,2049,3307,349,7562,1333,385735
2007,13,1.87084,1.5914,1664,2508,351,6148,1303,386327
2007,14,1.40042,1.36978,1445,1803,331,4958,1284,361955
2007,15,1.46887,1.36317,1429,1821,345,4869,1240,357183
2007,16,1.15514,1.1737,1257,1523,287,4179,1206,356055
2007,17,1.07901,1.06358,1152,1386,220,3695,1152,347413
2007,18,0.98492,0.969711,969,1143,210,3077,1119,317311
2007,19,1.03325,0.965362,917,1055,175,2860,1057,296262
2007,20,0.926649,0.856749,815,861,176,2442,1025,285031
2007,21,0.9201,0.863346,761,785,136,2243,925,259803
2007,22,0.954094,0.93537,722,652,130,2058,831,220020
2007,23,0.763278,0.745569,628,510,119,1679,796,225197
2007,24,0.81722,0.740428,598,469,134,1614,771,217982
2007,25,0.764586,0.672897,521,441,100,1456,749,216378
2007,26,0.793127,0.666282,514,408,102,1455,742,218376
2007,27,0.66909,0.662747,394,360,102,1169,711,176387
2007,28,0.62115,0.545619,366,372,52,1086,697,199040
2007,29,0.603659,0.586231,446,345,85,1211,698,206574
2007,30,0.649058,0.660687,477,392,96,1356,691,205241
2007,31,0.568338,0.534093,321,311,61,1037,677,194161
2007,32,0.651546,0.585549,389,385,78,1172,667,200154
2007,33,0.652176,0.618075,439,411,95,1283,666,207580
2007,34,0.803849,0.687465,495,457,88,1448,671,210629
2007,35,0.787458,0.715696,502,500,108,1526,652,213219
2007,36,0.943263,0.829313,519,545,73,1554,641,187384
2007,37,0.946932,0.800912,496,682,99,1694,638,211509
2007,38,0.987146,0.918484,609,681,121,1913,632,208278
2007,39,1.05206,0.814259,729,788,128,2228,703,273623
2007,40,0.995184,1.07197,2187,1997,290,5641,1373,526227
2007,41,1.22003,1.21786,2387,2433,303,6444,1429,529126
2007,42,1.28548,1.24576,2583,2551,352,6941,1449,557172
2007,43,1.3775,1.35984,2871,2788,375,7434,1477,546680
2007,44,1.46725,1.44671,3074,2998,368,7915,1485,547104
2007,45,1.55841,1.53286,3398,3303,377,8687,1539,566717
2007,46,1.61958,1.66653,3563,3290,471,9104,1516,546284
2007,47,1.8112,1.97488,3651,2631,476,8570,1523,433951
2007,48,1.61865,1.67305,3679,3158,413,9171,1513,548159
2007,49,1.62124,1.63405,3365,2907,392,8436,1487,516263
2007,50,1.67351,1.74595,3298,2694,402,8091,1453,463416
2007,51,1.95096,1.93643,3580,2724,459,8750,1420,451862
2007,52,2.50019,2.48905,3848,2348,522,8902,1426,357646
2008,1,2.43939,2.25405,3737,2568,670,9706,1486,430603
2008,2,2.29319,2.09147,3393,3644,816,11115,1509,531444
2008,3,2.62907,2.35934,3664,4900,595,12197,1511,516966
2008,4,3.92966,3.32331,4289,7661,722,17171,1508,516683
2008,5,4.99202,4.43381,5222,11974,1021,24812,1514,559609
2008,6,5.7776,5.34547,6059,15323,1302,31896,1526,596692
2008,7,5.98318,5.42258,6244,14336,1558,31625,1518,583210
2008,8,5.61677,5.30303,5922,12783,1728,30245,1497,570334
2008,9,4.53234,4.24456,4978,9958,1508,25027,1453,589626
2008,10,3.83249,3.628,4420,7849,1204,20254,1445,558269
2008,11,3.21522,3.03463,3878,6112,1048,16714,1412,550776
2008,12,2.69245,2.53595,3153,4493,874,13040,1395,514205
2008,13,2.03366,2.0573,2689,3395,796,10376,1379,504350
2008,14,1.65275,1.7415,2372,2697,642,8583,1327,492850
2008,15,1.3113,1.40652,2045,2354,486,7045,1318,500881
2008,16,1.1652,1.26861,1857,2013,407,6079,1288,479187
2008,17,1.02035,1.07719,1572,1713,323,4953,1208,459808
2008,18,0.877607,0.993445,1466,1416,235,4224,1147,425187
2008,19,0.825107,0.911212,1356,1381,208,4011,1098,440183
2008,20,0.787315,0.972109,1439,1274,211,3904,1074,401601
2008,21,0.805439,0.993258,1393,1116,211,3646,945,367075
2008,22,0.886061,1.09132,1473,1083,243,3803,869,348477
2008,23,0.743743,0.888446,1159,906,139,2933,789,330127
2008,24,0.706842,0.887691,1113,886,187,2906,764,327366
2008,25,0.655943,0.883187,1115,855,160,2842,755,321789
2008,26,0.633492,0.826756,937,810,133,2534,730,306499
2008,27,0.571837,0.783201,913,762,155,2405,713,307073
2008,28,0.558278,0.78061,881,749,132,2431,710,311423
2008,29,0.597893,0.769073,826,703,171,2319,696,301532
2008,30,0.577222,0.721298,779,704,131,2166,694,300292
2008,31,0.596987,0.752527,788,763,139,2289,676,304175
2008,32,0.564653,0.752721,679,706,216,2220,668,294930
2008,33,0.585682,0.792766,789,745,184,2368,657,298701
